,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,IN09,Andy Ruff ,dem,"$148,263","$134,906",N,N
0,IN09,Tonya Millis ,dem,"$10,224","$10,041",N,N
0,IA01,Abby Finkenauer ,dem,"$5,901,441","$5,875,405",N,Y
0,IA01,Ashley Hinson ,gop,"$5,175,883","$5,059,211",Y,N
0,IA02,Rita Hart ,dem,"$4,232,992","$4,114,400",N,N
0,IA02,Mariannette Miller-Meeks ,gop,"$2,174,194","$1,721,926",Y,N
0,IA03,Cindy Axne ,dem,"$6,236,976","$6,236,994",Y,Y
0,IA03,David Young ,gop,"$3,170,072","$3,094,582",N,N
0,IA04,J.D. Scholten ,dem,"$2,885,915","$2,902,003",N,N
0,IA04,Randy Feenstra ,gop,"$1,906,234","$1,894,288",Y,N
0,KS01,Tracey Mann ,gop,"$1,403,353","$1,127,156",Y,N
0,KS01,Kali Barnett ,dem,"$603,036","$592,924",N,N
0,KS02,Michelle De La Isla ,dem,"$1,825,085","$1,810,968",N,N
0,KS02,Jake Laturner ,gop,"$1,593,407","$1,578,460",Y,N
0,KS03,Sharice Davids ,dem,"$5,638,552","$5,168,034",Y,Y
0,KS03,Amanda Adkins ,gop,"$2,182,382","$2,139,673",N,N
0,KS04,Ron Estes ,gop,"$1,993,808","$1,420,188",Y,Y
0,KS04,Laura Lombard ,dem,"$264,459","$258,684",N,N
0,KY01,James Comer ,gop,"$736,116","$502,554",Y,Y
0,KY02,Brett Guthrie ,gop,"$1,412,797","$1,566,622",Y,Y
0,KY02,Hank Linderman ,dem,"$93,388","$71,122",N,N
0,KY02,Robert Lee Perry ,dem,"$12,798","$7,825",N,N
0,KY03,John Yarmuth ,dem,"$658,295","$690,226",Y,Y
0,KY03,Rhonda Palazzo ,gop,"$46,144","$45,668",N,N
0,KY04,Thomas Massie ,gop,"$1,457,316","$1,563,275",Y,Y
0,KY04,Alexandra Owensby ,dem,"$156,174","$106,359",N,N
0,KY05,Hal Rogers ,gop,"$664,168","$835,781",Y,Y
0,KY06,Andy Barr ,gop,"$4,536,264","$4,316,239",Y,Y
0,KY06,Josh Hicks ,dem,"$2,936,320","$2,935,615",N,N
0,LA01,Steve Scalise ,gop,"$37,262,827","$32,830,607",Y,Y
0,LA02,Cedric Richmond ,dem,"$1,628,289","$1,302,079",Y,Y
0,LA03,Clay Higgins ,gop,"$751,498","$720,424",Y,Y
0,LA03,Robert Jon Anderson ,dem,"$63,617","$48,015",N,N
0,LA03,Braylon Harris ,dem,"$23,006","$15,130",N,N
0,LA04,Mike Johnson ,gop,"$1,299,787","$1,039,393",Y,Y
0,LA04,Kenny Houston ,dem,"$33,677","$33,407",N,N
0,LA05,Luke Letlow ,gop,"$1,392,822","$1,303,757",N,N
0,LA05,Lance Harris ,gop,"$696,805","$687,833",N,N
0,LA05,Martin Lemelle ,dem,"$173,796","$162,747",N,N
0,LA05,Scotty Robinson ,gop,"$113,903","$113,835",N,N
0,LA05,Candy Christophe ,dem,"$77,101","$131,161",N,N
0,LA05,Phillip Snowden ,dem,"$29,481","$28,077",N,N
0,LA05,Matthew Hasty ,gop,"$2,654","$2,615",N,N
0,LA06,Garret Graves ,gop,"$1,743,015","$1,200,287",Y,Y
0,LA06,Dartanyon Williams ,dem,"$111,316","$98,114",N,N
0,ME01,Chellie Pingree ,dem,"$487,080","$264,790",Y,Y
0,ME01,Jay Allen ,gop,"$79,585","$69,853",N,N
0,ME02,Jared Golden ,dem,"$5,272,142","$5,233,990",Y,Y
0,ME02,Dale Crafts ,gop,"$1,199,805","$1,196,117",N,N
0,MD01,Andy Harris ,gop,"$1,468,096","$973,953",Y,Y
0,MD01,Mia Mason ,dem,"$2,524",$0,N,N
0,MD02,Dutch Ruppersberger ,dem,"$1,012,835","$927,353",Y,Y
0,MD02,Johnny Ray Salling ,gop,"$68,320","$66,895",N,N
0,MD03,John Sarbanes ,dem,"$573,599","$687,299",Y,Y
0,MD03,Charles Anthony ,gop,"$7,798","$6,742",N,N
